"id","friendly","inviting","awesome","quirky","pleasant"
192,8.19095708014888,8.19095708014888,9.19095708014888,10,10
165,8.46514231114038,8.46514231114038,9.46514231114038,10,8.46514231114038
161,9.41698482351405,10,10,10,9.41698482351405
37,10,10,10,10,10
65,8.51366140591933,8.51366140591933,9.51366140591933,10,8.51366140591933
50,6.85251478876528,5.85251478876528,8.85251478876528,10,6.85251478876528
5,9.64567202802526,10,10,10,10
87,9.97072931061399,10,10,10,10
127,8.65281925094616,9.65281925094616,8.65281925094616,10,7.65281925094616
63,8.70378708690438,8.70378708690438,9.70378708690438,10,7.70378708690438
171,10,10,10,10,10
33,8.36996187809669,7.36996187809669,8.36996187809669,10,7.36996187809669
40,10,8.00887949709857,10,10,9.00887949709857
120,9.42836539332757,9.42836539332757,8.42836539332757,10,7.42836539332757
104,5.99434555852442,5.99434555852442,5.99434555852442,8.99434555852442,4.99434555852442
109,5.97449436187446,5.97449436187446,6.97449436187446,10,4.97449436187446
138,6.31069849415257,7.31069849415257,6.31069849415257,10,7.31069849415257
111,7.92277020578886,7.92277020578886,8.92277020578885,10,7.92277020578886
173,4.4549379464616,5.4549379464616,5.4549379464616,10,4.4549379464616
132,8.43048608670548,7.43048608670548,6.43048608670548,10,10
153,8.64670106908327,8.64670106908327,7.64670106908327,10,7.64670106908327
78,8.24146887197649,7.24146887197649,7.24146887197649,10,8.24146887197649
105,9.01601772837379,10,10,10,10
51,8.15449714867781,8.15449714867781,9.15449714867781,10,6.15449714867781
134,6.09118130592114,4.09118130592114,4.09118130592114,10,7.09118130592114
3,7.61783295374581,7.61783295374581,9.61783295374581,10,8.61783295374581
73,5.81756080794736,6.81756080794736,6.81756080794736,10,5.81756080794736
64,7.98418317643871,6.98418317643871,7.98418317643871,10,8.98418317643871
174,8.79911798733483,8.79911798733483,8.79911798733483,10,9.79911798733483
59,10,10,9.37759483892676,10,9.37759483892676
129,8.4998801219088,7.4998801219088,8.4998801219088,10,7.4998801219088
122,5.22102202399176,7.22102202399176,3.22102202399176,10,4.22102202399176
199,6.91615840441401,7.91615840441401,8.91615840441401,10,6.91615840441401
117,9.18398439135798,7.18398439135798,8.18398439135798,10,9.18398439135798
28,10,9.71716439365091,10,10,9.71716439365091
70,8.24099365465313,6.24099365465313,8.24099365465313,10,8.24099365465313
136,10,9.22788961696273,9.22788961696273,10,10
23,5.45043542780827,4.45043542780827,4.45043542780827,9.45043542780827,5.45043542780827
14,7.34406532356541,6.34406532356541,8.34406532356541,10,7.34406532356541
89,5.09168995930604,3.09168995930604,4.09168995930604,10,5.09168995930604
98,7.592323499777,8.592323499777,7.592323499777,10,6.592323499777
54,9.76222265758062,9.76222265758062,10,10,9.76222265758062
121,7.44285796210262,7.44285796210262,7.44285796210262,10,8.44285796210262
56,9.24238848803785,9.24238848803785,9.24238848803785,10,8.24238848803785
133,9.96818703990865,8.96818703990865,9.96818703990865,10,8.96818703990865
110,10,10,9.46565483570638,10,10
139,6.98540578954364,5.98540578954364,5.98540578954364,10,5.98540578954364
166,9.72488521539102,8.72488521539102,10,10,8.72488521539102
18,8.37022693347679,8.37022693347679,9.37022693347679,10,7.37022693347679
7,9.16922039044258,8.16922039044258,10,10,10
101,9.58390988748486,8.58390988748486,8.58390988748486,10,8.58390988748486
11,9.11907523897679,9.11907523897679,10,10,9.11907523897679
79,7.86340534580594,7.86340534580594,6.86340534580594,10,7.86340534580594
197,6.74851106334986,6.74851106334986,7.74851106334986,9.74851106334986,5.74851106334986
62,9.13623276786651,9.13623276786651,10,10,8.13623276786651
108,7.37925095732114,8.37925095732114,6.37925095732114,10,7.37925095732114
84,8.30082102291779,7.30082102291779,9.30082102291779,10,9.30082102291779
91,8.49600510962728,9.49600510962728,9.49600510962728,10,10
6,10,10,10,10,10
128,7.6262266636093,6.6262266636093,8.6262266636093,10,6.6262266636093
71,7.98674772673706,7.98674772673706,7.98674772673706,10,7.98674772673706
189,9.37985921906585,7.37985921906585,8.37985921906585,10,9.37985921906585
26,7.75475113075561,8.7547511307556,4.75475113075561,10,8.7547511307556
58,8.01343479281052,9.01343479281052,7.01343479281052,10,9.01343479281052
124,9.0794369767545,9.0794369767545,8.0794369767545,10,9.0794369767545
156,5.93865762942031,5.93865762942031,5.93865762942031,10,4.93865762942031
125,9.64788721785304,9.64788721785304,9.64788721785304,10,10
159,6.13342460573434,6.13342460573434,5.13342460573434,10,5.13342460573434
24,9.34977648015968,9.34977648015968,8.34977648015968,10,9.34977648015968
4,5.71003005899338,5.71003005899338,5.71003005899338,8.71003005899338,4.71003005899338
150,8.52077967188913,7.52077967188913,10,10,8.52077967188913
30,7.85776743364633,8.85776743364633,7.85776743364633,10,6.85776743364633
95,7.54190710691019,7.54190710691019,8.54190710691019,10,7.54190710691019
52,6.39755243791322,3.39755243791322,3.39755243791322,10,7.39755243791322
83,8.75316213403402,7.75316213403402,8.75316213403402,10,9.75316213403402
97,7.87604516057851,7.87604516057851,8.87604516057851,10,6.87604516057851
13,6.84999512795804,7.84999512795804,6.84999512795804,9.84999512795804,7.84999512795804
93,10,9.25355938007886,10,10,10
175,7.57780691180528,8.57780691180528,8.57780691180528,10,7.57780691180528
177,8.40052229513089,7.40052229513089,8.40052229513089,10,6.40052229513089
149,4.97628184563844,3.97628184563844,4.97628184563844,10,3.97628184563844
114,9.60904337678941,8.60904337678941,10,10,9.60904337678941
178,5.2552165990118,4.2552165990118,4.2552165990118,10,5.2552165990118
130,5.62293985437267,6.62293985437267,5.62293985437267,9.62293985437267,4.62293985437267
167,6.87580686418442,8.87580686418442,5.87580686418442,9.87580686418442,6.87580686418442
96,8.53475510167745,9.53475510167745,10,10,7.53475510167745
154,9.19137803087659,9.19137803087659,10,10,9.19137803087659
145,7.59944265170034,7.59944265170034,10,10,8.59944265170034
163,7.59133651342751,7.59133651342751,8.59133651342751,10,6.59133651342751
131,9.16957025936147,9.16957025936147,9.16957025936147,10,9.16957025936147
168,7.43707889556442,7.43707889556442,8.43707889556442,10,7.43707889556442
115,8.36674657877418,9.36674657877418,7.36674657877418,10,5.36674657877418
92,7.58554848655688,7.58554848655688,8.58554848655688,10,9.58554848655688
143,7.73621083057186,7.73621083057186,8.73621083057186,10,7.73621083057186
17,6.17725188545156,4.17725188545156,5.17725188545156,10,6.17725188545156
47,5.7827113672608,5.7827113672608,5.7827113672608,10,7.7827113672608
176,7.59742861381352,8.59742861381352,7.59742861381352,10,7.59742861381352
155,9.89102765985397,10,8.89102765985397,10,10
146,6.67418405910731,7.67418405910731,6.67418405910731,10,7.67418405910731
193,8.81562472852874,7.81562472852874,8.81562472852874,10,9.81562472852874
106,8.88496566235649,8.88496566235649,7.88496566235649,10,9.88496566235649
137,7.46817906745398,7.46817906745398,7.46817906745398,10,8.46817906745398
66,8.18824027963725,7.18824027963725,9.18824027963725,10,7.18824027963725
94,7.65899635467756,7.65899635467756,6.65899635467756,10,8.65899635467756
151,7.79353852061252,7.79353852061252,8.79353852061252,10,5.79353852061252
148,8.22210257518667,9.22210257518667,7.22210257518667,10,7.22210257518667
77,9.25459957374611,8.25459957374611,9.25459957374611,10,7.25459957374611
90,7.85865918576857,7.85865918576857,7.85865918576857,10,6.85865918576857
53,8.71920533843869,8.71920533843869,7.71920533843869,10,7.71920533843869
82,7.29449671385297,6.29449671385297,6.29449671385297,10,6.29449671385297
60,5.70361147151255,6.70361147151255,5.70361147151255,10,5.70361147151255
194,7.97618457156492,7.97618457156492,6.97618457156492,10,8.97618457156491
102,9.25580688503244,9.25580688503244,9.25580688503244,10,8.25580688503244
67,6.77015804084586,8.77015804084586,5.77015804084586,9.77015804084586,6.77015804084586
81,7.05418987732014,6.05418987732014,7.05418987732014,10,7.05418987732014
45,8.70223064724224,8.70223064724224,10,10,9.70223064724224
55,9.55030477296557,10,8.55030477296557,10,10
112,7.25426439485992,8.25426439485992,7.25426439485992,10,7.25426439485992
147,7.91902323309418,7.91902323309418,7.91902323309418,10,9.91902323309418
12,8.70683116214132,9.70683116214132,8.70683116214132,10,8.70683116214132
39,10,9.03615535879919,9.03615535879919,10,9.03615535879919
103,6.85238002103032,6.85238002103032,8.85238002103032,10,7.85238002103032
119,6.40350027758258,5.40350027758258,7.40350027758258,10,6.40350027758258
85,8.12978516274689,8.12978516274689,8.12978516274689,10,8.12978516274689
123,6.98952331382991,5.98952331382991,5.98952331382991,10,6.98952331382991
196,8.80158526072696,9.80158526072696,10,10,7.80158526072696
198,6.08091442730436,7.08091442730436,6.08091442730436,10,5.08091442730436
19,6.70745293975147,5.70745293975147,7.70745293975147,10,6.70745293975147
135,10,10,9.05496797359932,10,10
61,4.64695422817453,5.64695422817453,6.64695422817453,9.64695422817453,4.64695422817453
188,7.07134620181268,6.07134620181268,8.07134620181268,10,7.07134620181268
172,8.83283166663377,8.83283166663377,8.83283166663377,10,8.83283166663377
107,8.2576032929828,7.2576032929828,10,10,10
20,8.98986636456524,8.98986636456524,7.98986636456524,10,6.98986636456524
38,9.57432962610959,10,9.57432962610959,10,10
187,5.1678757207912,6.1678757207912,6.1678757207912,10,6.1678757207912
25,9.08167975753328,9.08167975753328,9.08167975753328,10,10
57,6.862073879477,5.862073879477,5.862073879477,10,5.862073879477
43,8.22707399557334,8.22707399557334,9.22707399557334,10,8.22707399557334
195,8.860423252382,8.860423252382,9.860423252382,10,8.860423252382
140,6.77183557492859,4.77183557492859,6.77183557492859,9.77183557492859,5.77183557492859
80,8.94809859573279,9.94809859573279,9.94809859573279,10,7.94809859573279
179,9.26478720362142,9.26478720362142,8.26478720362142,10,9.26478720362142
169,7.48295194178146,7.48295194178146,5.48295194178146,10,7.48295194178146
68,9.53579046574821,9.53579046574821,10,10,9.53579046574821
69,7.82208766002827,7.82208766002827,5.82208766002827,10,7.82208766002827
86,6.05877173322601,5.05877173322601,7.05877173322601,10,6.05877173322601
46,10,10,10,10,10
41,9.16635008635017,9.16635008635017,10,10,9.16635008635017
164,8.72276026961064,7.72276026961064,8.72276026961064,10,9.72276026961064
152,9.63861759302921,6.63861759302921,6.63861759302921,10,10
157,9.18915205356647,8.18915205356647,8.18915205356647,10,8.18915205356647
9,6.46033108317453,6.46033108317453,7.46033108317453,10,5.46033108317453
2,6.12074919034361,6.12074919034361,6.12074919034361,10,5.12074919034361
158,7.20643629418611,8.20643629418611,6.20643629418611,10,8.20643629418611
75,7.63003883677977,8.63003883677977,8.63003883677977,10,7.63003883677977
8,8.28256250776637,9.28256250776637,7.28256250776637,10,8.28256250776637
27,6.85020656578441,7.85020656578441,6.85020656578441,10,5.85020656578441
190,9.63831450371702,9.63831450371702,9.63831450371702,10,8.63831450371702
22,6.57121332580906,8.57121332580906,4.57121332580906,10,5.57121332580906
100,7.13695147695638,8.13695147695638,8.13695147695638,10,7.13695147695638
191,8.08145671294366,9.08145671294366,9.08145671294366,10,10
29,8.35751350806821,7.35751350806821,8.35751350806821,10,7.35751350806821
170,9.56630948869084,7.56630948869084,9.56630948869084,10,9.56630948869084
15,7.29267351727659,8.29267351727659,6.29267351727659,10,4.29267351727659
162,6.43680418733555,6.43680418733555,7.43680418733555,10,5.43680418733555
