CustomerID,BikeBuyer
18988,0
29135,1
12156,0
13749,0
27780,0
16375,0
16109,1
15606,1
20888,1
20716,0
21311,1
21741,0
20101,0
28302,0
14515,0
11674,0
11539,1
14290,0
20615,1
14818,1
26973,0
17825,0
15133,1
22334,0
26530,0
15411,0
24792,0
18812,1
27688,1
14513,0
28847,1
11168,1
18336,0
14382,0
28882,1
23238,1
19098,1
15295,0
12347,0
20655,0
28156,1
20907,1
22162,0
17782,0
25307,0
14641,0
12477,0
18593,1
22718,1
11377,0
18875,0
21972,0
13420,1
19205,0
15966,0
16311,0
26497,0
27508,0
20403,0
12728,1
26965,0
26248,0
18078,0
15376,1
28529,0
16104,1
13633,1
26019,1
19646,0
12133,1
19411,0
23050,0
16803,1
25367,0
11018,0
24425,1
19505,1
27759,1
12996,0
17519,0
19145,1
18746,1
12607,0
21435,1
11569,0
23800,0
21618,0
26089,1
11551,1
21268,0
23072,0
26766,1
15407,0
16381,1
13665,0
13409,1
15609,0
18681,0
18464,0
27695,0
21567,1
27999,0
11733,0
18823,1
13893,0
16817,1
26889,0
13339,0
16670,0
16690,0
22080,1
15291,0
24355,0
17502,0
18358,0
19893,1
14093,0
23327,0
11069,0
15778,1
22960,1
29269,1
28245,1
20497,0
23091,0
14418,0
27497,0
28577,0
22654,1
13485,1
22025,0
28515,0
26318,1
11959,0
21429,0
21545,1
21848,1
11995,0
24675,1
16096,0
13966,0
21707,0
15157,1
15017,0
19705,1
14416,0
24466,0
20135,0
28431,0
22058,0
11331,0
18320,0
24761,0
16219,0
22205,1
19647,0
28662,1
18732,0
12339,1
22106,1
23305,0
20290,1
16067,1
20186,1
14600,1
23713,0
11288,1
27942,1
25824,0
12028,0
26902,0
19897,1
18488,0
15991,0
13499,1
24737,0
18253,1
23277,0
25709,0
19037,1
25550,0
26714,0
15593,1
22018,0
11606,0
25634,0
21615,1
28455,0
11864,0
19197,1
21329,0
19853,0
27797,0
17464,0
12209,1
23621,0
23857,0
29388,0
21348,0
18788,1
20518,0
25960,0
22560,0
28119,0
21157,1
23040,0
13637,1
16112,1
23547,0
27814,1
23382,0
21025,1
23366,1
26746,0
11870,1
13618,1
14883,0
27934,0
22504,1
22473,1
15621,1
16925,1
15100,1
25391,1
11356,0
24930,0
15341,0
11247,1
22652,1
21284,0
15636,1
28003,0
20285,0
20140,0
15959,1
28746,0
26818,1
28821,0
23896,0
23314,0
26510,1
15111,1
24205,0
28463,0
20040,1
12822,0
25619,0
20280,0
26392,1
20513,1
20201,1
22535,0
16279,1
27996,0
19929,1
22103,1
19784,0
26045,0
25791,1
24265,0
19650,0
29106,1
18787,1
22160,0
19506,1
26661,1
12192,0
29310,0
16838,1
12103,0
28220,1
27128,1
15420,0
22360,0
23453,1
13526,0
24840,1
13102,0
11595,1
26171,0
13376,0
27313,1
18778,0
26210,0
22603,0
15630,0
26578,0
11373,0
28137,0
12265,1
12542,0
15479,0
14562,0
13899,1
29483,0
24414,1
13406,1
29406,0
28794,0
19273,0
14063,1
11643,0
13484,1
25969,1
13228,0
22411,0
27304,1
17060,1
27563,0
27527,1
28541,0
28214,1
21533,1
11826,0
18854,0
14349,0
25254,0
14190,1
22796,1
24309,0
12768,0
27133,0
25907,0
28023,0
21520,1
25554,0
27715,0
24917,1
24788,0
24378,0
22049,1
17872,0
11502,1
21074,0
28153,1
19940,1
29157,1
19775,0
16182,1
11068,0
19864,0
12498,0
24232,0
28314,1
14753,0
12550,0
24801,1
16327,0
19587,1
14252,1
15186,1
25454,1
19857,0
17861,1
18079,0
18706,1
14603,1
13401,1
28447,0
23020,0
21557,1
23206,1
20429,0
23214,1
22027,0
26370,0
28518,1
28221,0
17984,0
20321,0
19824,1
20825,0
26294,0
16574,1
21938,0
20482,0
22186,1
29439,0
27050,0
27974,1
14579,1
28264,1
18630,0
22099,0
21219,0
28028,1
26684,1
29361,1
26987,1
19783,0
22362,0
24523,0
17657,0
13148,0
25222,0
22680,0
18814,1
20984,0
24041,0
16489,0
18845,0
13259,1
20475,1
13277,1
11796,1
19120,0
22280,1
29324,0
11875,1
14139,0
24420,1
24280,0
18538,0
23841,0
14959,1
14097,0
13384,1
19559,1
12650,1
18777,0
15831,0
28593,0
24914,0
20961,0
22048,0
14338,0
20830,0
14697,0
23952,0
17877,0
17837,0
20543,0
25894,1
22863,0
27826,1
25356,0
18610,1
16852,1
25360,0
13487,1
18963,0
15698,1
21611,0
11258,1
16036,0
23354,0
28641,0
25455,0
20996,0
12760,0
26843,0
12939,1
11807,0
17560,0
18998,0
11215,0
19116,1
15839,0
13930,0
12093,1
19731,0
12514,0
19038,1
27156,0
26756,1
21181,1
21803,1
27431,1
17685,1
12118,0
17237,0
11678,0
13583,1
14907,0
20857,0
24285,0
24154,0
12299,1
15690,1
27720,1
24408,1
26764,1
25829,1
22616,1
13725,0
23990,0
22830,1
26815,0
12095,0
16821,1
11597,1
13960,1
23613,1
15694,1
24816,0
24211,1
23627,1
14500,1
22223,0
29068,0
